,dairy,eggs,meat_fish,nuts_pulses,grains_tubers,animal_source_foods,Primary_Religion,Population_2015,Travel_time_to_cities,Soil_suit_overall,Soil_suit_cereals,Soil_suit_pulses,Soil_suit_roots,ISO3C,Entity,Code,Year, (g/person/day),Travel_time_to_cities_group,Soil_suit_overall_group,dairy_group,eggs_group,meat_fish_group,nuts_pulses_group,grains_tubers_group
0,0.159340659340659,0.34652014652014695,0.48021978021978007,0.159340659340659,0.8413919413919408,0.9860805860805859,0,92.83489,82.41833000000001,8.56108,8.491615,8.010826,8.0,UKR,Ukraine,UKR,2013.0,88.62,1,5,1,2,2,1,4
1,0.353050595238095,0.046875,0.280071924603175,0.07421875,0.447915365884116,0.67999751984127,0,1748.388,74.77269,8.51168,8.491615,8.010826,8.0,MDA,Moldova,MDA,2013.0,71.41,1,5,2,1,2,1,2
2,0.31977189477189505,0.10658508158508198,0.136904761904762,0.15,0.609615384615385,0.5632617382617379,0,58.915130000000005,96.4523,8.313398,8.491615,8.010826,8.0,MDA,Moldova,MDA,2013.0,71.41,1,5,2,1,1,1,3
3,0.8770604395604399,0.269230769230769,0.153846153846154,0.0755494505494505,0.7568681318681321,1.30013736263736,0,8067.764,92.95013,7.087249000000001,6.9988660000000005,7.0,7.0,MDA,Moldova,MDA,2013.0,71.41,1,4,4,2,1,1,4
5,0.0,0.0871212121212121,0.0930735930735931,0.267857142857143,0.643127705627706,0.180194805194805,0,17019.27,54.772619999999996,8.7399,8.919906,6.0,8.0,UKR,Ukraine,UKR,2013.0,88.62,1,5,1,1,1,2,3
6,0.269844607853945,0.137813650695654,0.36580926937838004,0.235242923377099,0.8740536436831249,0.77346752792798,0,8118.996999999999,85.29751999999999,8.697246,8.919906,6.0,8.0,UKR,Ukraine,UKR,2013.0,88.62,1,5,2,1,2,1,4
7,0.378205128205128,0.142307692307692,0.48241758241758204,0.278388278388278,0.9897435897435899,1.0029304029304,0,24634.26,70.76281,8.717217999999999,8.998034,7.021653,8.0,MDA,Moldova,MDA,2013.0,71.41,1,5,2,1,2,2,4
9,0.285858585858586,0.174747474747475,0.4626262626262629,0.28333333333333305,0.926767676767677,0.923232323232323,0,4051.203,55.77211,8.547049000000001,8.491615,8.010826,8.0,MDA,Moldova,MDA,2013.0,71.41,1,5,2,1,2,2,4
11,0.20238095238095197,0.19583333333333303,0.35,0.19166666666666698,0.704166666666667,0.7482142857142858,0,215.8858,83.61144,8.536519,8.491615,8.010826,8.0,MDA,Moldova,MDA,2013.0,71.41,1,5,1,1,2,1,3
12,0.5,0.14021164021164,0.148148148148148,0.0740740740740741,0.7989417989417991,0.7883597883597879,0,910.8453,94.74248,8.533133,8.491615,8.010826,8.0,MDA,Moldova,MDA,2013.0,71.41,1,5,3,1,1,1,4
13,0.222002997002997,0.0737183868762816,0.17259056732740902,0.0590225563909774,0.5811736509104929,0.468311951206688,0,156.0768,92.8088,6.528969999999999,7.491842999999999,7.010827000000001,7.0,MDA,Moldova,MDA,2013.0,71.41,1,4,1,1,1,1,3
16,0.344452662721894,0.189583333333334,0.321375739644971,0.21192061143984198,0.752648313225236,0.855411735700197,0,1.5521200000000002,93.16275999999999,8.536438,8.491615,8.010826,8.0,MDA,Moldova,MDA,2013.0,71.41,1,5,2,1,2,1,4
18,0.19407234641788396,0.147695534823681,0.24072273073989303,0.133650702844067,0.6575674135170699,0.582490611981459,0,10318.33,66.31911,8.524646,8.491615,8.010826,8.0,MDA,Moldova,MDA,2013.0,71.41,1,5,1,1,1,1,3
21,0.3536281179138321,0.18367346938775503,0.336394557823129,0.307142857142857,0.7155328798185941,0.873696145124716,0,24.755879999999998,71.13665999999999,8.532380999999999,8.491615,8.010826,8.0,MDA,Moldova,MDA,2013.0,71.41,1,5,2,1,2,2,3
23,0.256484380713056,0.0901277941659068,0.314603258205799,0.20580114078299203,0.689810475990683,0.661215433084762,0,1934.309,64.75803,8.382581,8.491615,8.010826,7.0,MDA,Moldova,MDA,2013.0,71.41,1,5,2,1,2,1,3
24,0.20307108350586606,0.0623878536922015,0.337122780601041,0.263940648723257,0.847220653742393,0.602581717799109,0,9.944427000000001,69.02020999999999,8.126762,8.491088000000001,7.010827000000001,7.0,MDA,Moldova,MDA,2013.0,71.41,1,5,1,1,2,2,4
25,0.31165628440064597,0.14477126883141903,0.325575844372837,0.198021276968645,0.79740038574625,0.7820033976049009,0,3126.7990000000004,47.170190000000005,8.242766,7.985197,8.010826,8.0,MDA,Moldova,MDA,2013.0,71.41,1,5,2,1,2,1,4
29,0.281135787648392,0.0660714285714286,0.20988358047181602,0.17393578643578697,0.6451073436367549,0.5570907966916371,0,2514.567,57.49886,7.916223,7.4778720000000005,8.0,6.0,MDA,Moldova,MDA,2013.0,71.41,1,4,2,1,1,1,3
30,0.17166666666666697,0.075,0.257272727272727,0.228888888888889,0.5581313131313129,0.503939393939394,0,5885.018,43.99471,8.376653999999998,8.491238000000001,7.021653,7.0,MDA,Moldova,MDA,2013.0,71.41,1,5,1,1,2,1,3
31,0.390909090909091,0.0818181818181818,0.351839826839827,0.18333333333333302,0.8627902400629671,0.8245670995671,0,2311.245,18.00986,8.440497,8.491615,8.010826,8.0,MDA,Moldova,MDA,2013.0,71.41,1,5,2,1,2,1,4
32,0.421326754385965,0.207980889724311,0.407150689223058,0.114035087719298,0.7584194862155391,1.03645833333333,0,5872.414000000001,30.51476,8.258685,8.491615,8.010826,8.0,MDA,Moldova,MDA,2013.0,71.41,1,5,2,1,2,1,4
35,0.31819798857758197,0.138206566171299,0.272258848411426,0.171562181144561,0.7294478713057929,0.728663403160307,0,1265.413,58.22275,7.991592,8.491238000000001,6.032479,6.0,MDA,Moldova,MDA,2013.0,71.41,1,4,2,1,2,1,3
36,0.20309523809523802,0.12947478991596698,0.171708683473389,0.17385154061624603,0.5509982174688061,0.504278711484594,0,178.9593,42.68223,8.255884,8.491615,8.010826,8.0,MDA,Moldova,MDA,2013.0,71.41,1,5,1,1,1,1,3
