Primary_Religion,Urban.Rural,Travel_time_to_cities group,dist_popcenter group,dist_road group,MMD10
0,0,18,7,1,2
0,0,18,7,1,2
0,0,18,7,1,2
0,0,18,7,1,2
0,0,18,7,1,2
0,0,18,7,1,3
0,0,18,7,1,2
0,0,18,7,1,3
0,0,18,7,1,3
0,0,18,7,1,2
0,0,18,7,1,2
0,0,18,7,1,2
0,0,18,7,1,2
0,0,18,7,1,3
0,0,18,7,1,1
0,0,18,7,1,1
0,0,20,6,1,2
0,0,20,6,1,2
0,0,20,6,1,1
0,0,20,6,1,1
0,0,20,6,1,2
0,0,20,6,1,3
0,0,20,6,1,3
0,0,20,6,1,2
0,0,20,6,1,2
0,0,20,6,1,2
0,0,20,6,1,2
0,0,20,6,1,1
0,0,20,6,1,3
0,0,20,6,1,1
0,0,20,6,1,2
0,0,20,6,1,1
0,0,13,9,1,2
0,0,13,9,1,2
0,0,13,9,1,1
0,0,13,9,1,2
0,0,13,10,1,2
0,0,13,10,1,1
0,0,13,10,1,2
0,0,13,10,1,1
0,0,13,10,1,2
0,0,13,9,1,2
0,0,13,9,1,2
0,0,13,9,1,2
0,0,13,9,1,2
0,0,13,9,1,1
0,0,13,9,1,1
0,0,13,9,1,2
0,0,16,7,1,3
0,0,16,7,1,2
0,0,16,7,1,2
0,0,16,7,1,3
0,0,16,7,1,2
0,0,16,8,2,3
0,0,16,8,2,2
0,0,16,8,2,1
0,0,16,7,2,1
0,0,16,7,2,1
0,0,16,7,1,3
0,0,16,7,1,2
0,0,16,7,1,3
0,0,16,7,1,1
0,0,16,7,1,1
0,0,16,7,1,2
0,0,19,6,2,2
0,0,19,6,2,2
0,0,19,5,2,2
0,0,19,5,2,2
0,0,19,5,2,3
0,0,19,5,2,2
0,0,19,5,2,3
0,0,19,5,2,2
0,0,19,5,2,1
0,0,19,6,2,2
0,0,19,6,2,3
0,0,19,5,2,2
0,0,19,5,2,2
0,0,19,5,2,2
0,0,19,5,3,1
0,0,19,5,3,2
0,0,25,6,1,2
0,0,25,5,1,1
0,0,25,5,1,1
0,0,25,6,1,2
0,0,25,6,1,2
0,0,25,5,1,2
0,0,25,6,1,2
0,0,25,6,1,2
0,0,25,5,1,1
0,0,25,5,1,1
0,0,25,6,1,2
0,0,25,6,1,2
0,0,25,6,1,2
0,0,25,6,1,1
0,0,25,5,1,2
0,0,25,6,1,2
0,0,30,5,2,1
0,0,30,5,2,3
0,0,30,5,2,2
0,0,30,5,2,1
0,0,30,4,2,2
0,0,30,5,2,2
0,0,30,5,2,1
0,0,30,4,2,1
0,0,30,4,2,2
0,0,30,4,2,2
0,0,30,4,2,2
0,0,30,4,2,1
0,0,30,4,2,1
0,0,30,4,3,1
0,0,30,4,3,2
0,0,30,4,3,1
0,0,25,6,1,1
0,0,25,5,1,1
0,0,25,6,1,1
0,0,25,5,1,1
0,0,25,5,1,1
0,0,25,6,1,2
0,0,25,6,1,3
0,0,25,6,1,2
0,0,25,6,1,3
0,0,25,6,1,2
0,0,25,6,1,1
0,0,25,6,1,2
0,0,25,6,1,1
0,0,25,6,1,1
0,0,25,6,1,1
0,0,25,6,1,2
0,0,23,6,1,1
0,0,23,6,1,1
0,0,23,6,1,1
0,0,23,6,1,1
0,0,23,6,1,2
0,0,23,6,1,2
0,0,23,6,1,1
0,0,23,6,1,2
0,0,23,6,1,2
0,0,23,6,1,3
0,0,23,6,1,2
0,0,23,6,1,1
0,0,23,6,1,2
0,0,23,6,1,3
0,0,23,6,1,2
0,0,23,6,1,2
0,0,16,11,2,1
0,0,16,11,2,1
0,0,16,11,1,1
0,0,16,11,1,1
0,0,16,11,1,2
0,0,16,11,1,2
0,0,16,11,1,2
0,0,16,10,1,2
0,0,16,11,1,2
0,0,16,11,1,2
0,0,16,11,1,2
0,0,16,11,1,1
0,0,16,11,1,2
0,0,16,11,1,1
0,0,16,11,1,2
0,0,16,11,1,1
0,0,14,11,1,1
0,0,14,11,1,1
0,0,14,11,1,2
0,0,14,11,1,1
0,0,14,11,1,2
0,0,14,11,1,1
0,0,14,11,1,1
0,0,14,11,1,1
0,0,14,11,1,1
0,0,14,11,1,2
0,0,14,11,1,2
0,0,14,11,1,2
0,0,14,11,1,2
0,0,14,11,1,2
0,0,14,10,1,2
0,0,14,10,1,2
0,0,14,3,1,1
0,0,14,3,1,1
0,0,14,3,1,1
0,0,14,3,1,1
0,0,14,3,1,1
0,0,14,3,1,1
0,0,14,3,1,1
0,0,14,3,1,1
0,0,14,3,1,2
0,0,14,3,1,1
0,0,14,3,1,1
0,0,14,3,1,2
0,0,14,3,1,2
0,0,14,3,1,1
0,0,14,3,1,2
0,0,14,3,1,2
0,0,10,1,1,2
0,0,10,1,1,1
0,0,10,1,1,2
0,0,10,1,1,2
0,0,10,1,1,2
0,0,10,1,1,3
0,0,10,1,1,2
0,0,10,1,1,3
0,0,10,1,1,2
0,0,10,1,1,2
0,0,10,1,1,2
0,0,10,1,1,2
0,0,10,1,1,2
0,0,10,1,1,2
0,0,10,1,1,2
0,0,10,1,1,1
0,0,16,4,1,1
0,0,16,4,1,2
0,0,16,4,1,1
0,0,16,4,1,2
0,0,16,4,1,2
0,0,16,4,1,2
0,0,16,4,1,2
0,0,16,4,1,2
0,0,16,4,1,2
0,0,16,3,4,3
0,0,16,4,1,1
