HouseholdId,Our_HouseholdId,Cell_Coord_y_round,Cell_Coord_x_round,dist_road,dist_popcenter,MDD21,MDD22,MDD23,MDD24,MDD25,MDD26,MDD27,MDD28,MDD29,MDD30,MMD10,Urban.Rural,fao1,fao2,fao3,fao4,fao5,fao6,fao7,fao8,fao9,fao10,fao11,fao12,FAO12,ISO3N,Primary_Religion,Percent_Primary_Religion,Percent_Christian,GDP_PPP_2015,GDP_PPP_2000,GDP_PPP_1990,Population_2015,Population_2000,Population_1990,Travel_time_to_cities,Cell_Coord_x,Cell_Coord_y,PerCapita_GDP_2015,PerCapita_GDP_2000,PerCapita_GDP_1990,ISO3C,Continent,World_Region
1.0101E+11,1,-9.83,33.42,0.620000005,63.77000046,1,1,1,1,1,0,0,1,1,0,7,Rural,1,1,1,1,0,0,1,0,1,1,0,1,8,454,Christians,97.5,97.5,3823810.634,3330650.96,2824852.688,6297.450388,3896.685556,2966.245325,174.477106,33.375,-9.791666667,607.1998028,854.7394734,952.3327907,MWI,Africa,Eastern Africa
1.0101E+11,2,-9.83,33.42,4.78000021,62.18999863,1,1,1,0,1,0,0,1,1,0,6,Rural,1,1,1,1,1,0,0,0,1,1,0,0,7,454,Christians,97.5,97.5,3823810.634,3330650.96,2824852.688,6297.450388,3896.685556,2966.245325,174.477106,33.375,-9.791666667,607.1998028,854.7394734,952.3327907,MWI,Africa,Eastern Africa
1.0101E+11,3,-9.83,33.42,3.680000067,62.52999878,1,1,0,0,1,0,0,1,1,0,5,Rural,1,1,1,1,1,0,0,1,1,1,0,0,8,454,Christians,97.5,97.5,3823810.634,3330650.96,2824852.688,6297.450388,3896.685556,2966.245325,174.477106,33.375,-9.791666667,607.1998028,854.7394734,952.3327907,MWI,Africa,Eastern Africa
1.0101E+11,4,-9.83,33.42,4.900000095,62.20000076,1,1,0,0,1,1,0,1,1,1,7,Rural,1,1,1,1,1,1,0,1,1,1,1,0,10,454,Christians,97.5,97.5,3823810.634,3330650.96,2824852.688,6297.450388,3896.685556,2966.245325,174.477106,33.375,-9.791666667,607.1998028,854.7394734,952.3327907,MWI,Africa,Eastern Africa
1.0101E+11,5,-9.83,33.42,4.78000021,62.18999863,1,0,1,0,1,1,0,1,1,1,7,Rural,1,1,1,1,0,1,0,1,0,1,1,1,9,454,Christians,97.5,97.5,3823810.634,3330650.96,2824852.688,6297.450388,3896.685556,2966.245325,174.477106,33.375,-9.791666667,607.1998028,854.7394734,952.3327907,MWI,Africa,Eastern Africa
1.0101E+11,6,-9.83,33.42,4.679999828,61.95999908,1,1,0,1,1,1,1,1,1,1,9,Rural,1,1,1,1,1,1,1,1,1,1,1,1,12,454,Christians,97.5,97.5,3823810.634,3330650.96,2824852.688,6297.450388,3896.685556,2966.245325,174.477106,33.375,-9.791666667,607.1998028,854.7394734,952.3327907,MWI,Africa,Eastern Africa
1.0101E+11,7,-9.83,33.42,4.21999979,62.00999832,1,0,0,1,0,1,0,1,1,0,5,Rural,1,1,0,1,0,0,1,1,1,1,1,0,8,454,Christians,97.5,97.5,3823810.634,3330650.96,2824852.688,6297.450388,3896.685556,2966.245325,174.477106,33.375,-9.791666667,607.1998028,854.7394734,952.3327907,MWI,Africa,Eastern Africa
1.0101E+11,8,-9.83,33.42,3.779999971,62.25,1,1,0,0,1,1,1,1,1,1,8,Rural,1,1,1,1,1,1,0,1,1,1,1,1,11,454,Christians,97.5,97.5,3823810.634,3330650.96,2824852.688,6297.450388,3896.685556,2966.245325,174.477106,33.375,-9.791666667,607.1998028,854.7394734,952.3327907,MWI,Africa,Eastern Africa
1.0101E+11,9,-9.83,33.42,4.179999828,61.91999817,1,1,1,1,1,1,0,1,1,1,9,Rural,1,1,1,1,1,1,1,1,1,1,1,1,12,454,Christians,97.5,97.5,3823810.634,3330650.96,2824852.688,6297.450388,3896.685556,2966.245325,174.477106,33.375,-9.791666667,607.1998028,854.7394734,952.3327907,MWI,Africa,Eastern Africa
1.0101E+11,10,-9.83,33.42,1.220000029,63.34000015,1,1,0,0,1,1,0,1,1,0,6,Rural,1,1,1,1,1,0,0,1,1,1,1,0,9,454,Christians,97.5,97.5,3823810.634,3330650.96,2824852.688,6297.450388,3896.685556,2966.245325,174.477106,33.375,-9.791666667,607.1998028,854.7394734,952.3327907,MWI,Africa,Eastern Africa
1.0101E+11,11,-9.83,33.42,0.100000001,63.97999954,1,1,0,1,0,0,0,1,1,1,6,Rural,1,1,1,1,0,1,1,1,0,1,0,0,8,454,Christians,97.5,97.5,3823810.634,3330650.96,2824852.688,6297.450388,3896.685556,2966.245325,174.477106,33.375,-9.791666667,607.1998028,854.7394734,952.3327907,MWI,Africa,Eastern Africa
1.0101E+11,12,-9.83,33.42,2.210000038,63.08000183,1,1,0,0,1,0,0,1,1,0,5,Rural,1,1,1,1,1,0,0,0,1,1,0,0,7,454,Christians,97.5,97.5,3823810.634,3330650.96,2824852.688,6297.450388,3896.685556,2966.245325,174.477106,33.375,-9.791666667,607.1998028,854.7394734,952.3327907,MWI,Africa,Eastern Africa
1.0101E+11,13,-9.83,33.42,0.680000007,61.11000061,1,1,0,0,0,0,0,1,1,1,5,Rural,1,1,1,1,0,1,0,1,1,1,0,0,8,454,Christians,97.5,97.5,3823810.634,3330650.96,2824852.688,6297.450388,3896.685556,2966.245325,174.477106,33.375,-9.791666667,607.1998028,854.7394734,952.3327907,MWI,Africa,Eastern Africa
1.0101E+11,14,-9.83,33.42,1.889999986,61.40999985,1,1,0,1,1,1,0,1,1,1,8,Rural,1,1,1,1,1,1,1,1,1,1,1,0,11,454,Christians,97.5,97.5,3823810.634,3330650.96,2824852.688,6297.450388,3896.685556,2966.245325,174.477106,33.375,-9.791666667,607.1998028,854.7394734,952.3327907,MWI,Africa,Eastern Africa
1.0101E+11,15,-9.83,33.42,0.469999999,62.27999878,1,0,0,1,0,1,0,0,1,0,4,Rural,1,1,0,1,0,0,1,0,0,1,1,0,6,454,Christians,97.5,97.5,3823810.634,3330650.96,2824852.688,6297.450388,3896.685556,2966.245325,174.477106,33.375,-9.791666667,607.1998028,854.7394734,952.3327907,MWI,Africa,Eastern Africa
1.0101E+11,16,-9.83,33.42,0.319999993,62.29000092,1,1,0,0,0,0,0,1,1,0,4,Rural,1,1,1,1,0,0,0,1,0,1,0,0,6,454,Christians,97.5,97.5,3823810.634,3330650.96,2824852.688,6297.450388,3896.685556,2966.245325,174.477106,33.375,-9.791666667,607.1998028,854.7394734,952.3327907,MWI,Africa,Eastern Africa
1.01012E+11,17,-9.92,33.42,1.570000052,59.15999985,1,1,0,0,1,0,1,0,1,1,6,Rural,1,0,1,1,0,1,0,0,1,1,0,1,7,454,Christians,97.5,97.5,3522962.704,1646238.49,1396237.918,0,0,0,190.4545185,33.375,-9.875,0,0,0,MWI,Africa,Eastern Africa
1.01012E+11,18,-9.92,33.42,1.320000052,58.91999817,1,1,0,0,1,0,0,0,1,1,5,Rural,1,1,1,1,1,1,0,1,0,1,0,0,8,454,Christians,97.5,97.5,3522962.704,1646238.49,1396237.918,0,0,0,190.4545185,33.375,-9.875,0,0,0,MWI,Africa,Eastern Africa
1.01012E+11,19,-9.92,33.42,0.560000002,58.13999939,1,1,0,0,1,0,0,0,1,0,4,Rural,1,1,1,1,0,0,0,1,1,1,0,1,8,454,Christians,97.5,97.5,3522962.704,1646238.49,1396237.918,0,0,0,190.4545185,33.375,-9.875,0,0,0,MWI,Africa,Eastern Africa
1.01012E+11,20,-9.92,33.42,0.280000001,58.27999878,1,1,0,0,0,0,0,0,1,0,3,Rural,1,0,1,1,0,0,0,0,0,1,0,0,4,454,Christians,97.5,97.5,3522962.704,1646238.49,1396237.918,0,0,0,190.4545185,33.375,-9.875,0,0,0,MWI,Africa,Eastern Africa
1.01012E+11,21,-9.92,33.42,0.569999993,58.13999939,1,1,0,0,1,0,0,0,1,1,5,Rural,1,1,1,1,0,1,0,1,1,1,0,1,9,454,Christians,97.5,97.5,3522962.704,1646238.49,1396237.918,0,0,0,190.4545185,33.375,-9.875,0,0,0,MWI,Africa,Eastern Africa
1.01012E+11,22,-9.92,33.42,0.029999999,58.11999893,1,1,1,1,1,1,0,1,1,1,9,Rural,1,1,1,1,1,1,1,1,1,1,1,1,12,454,Christians,97.5,97.5,3522962.704,1646238.49,1396237.918,0,0,0,190.4545185,33.375,-9.875,0,0,0,MWI,Africa,Eastern Africa
1.01012E+11,23,-9.92,33.42,0.860000014,59.04000092,1,1,1,0,1,1,1,0,1,1,8,Rural,1,1,1,1,1,1,0,1,1,1,1,1,11,454,Christians,97.5,97.5,3522962.704,1646238.49,1396237.918,0,0,0,190.4545185,33.375,-9.875,0,0,0,MWI,Africa,Eastern Africa
1.01012E+11,24,-9.92,33.42,0.620000005,59.00999832,1,1,1,0,0,1,0,1,1,0,6,Rural,1,1,1,1,0,0,0,1,1,1,1,0,8,454,Christians,97.5,97.5,3522962.704,1646238.49,1396237.918,0,0,0,190.4545185,33.375,-9.875,0,0,0,MWI,Africa,Eastern Africa
1.01012E+11,25,-9.92,33.42,0.370000005,58.43000031,1,1,0,0,0,0,1,0,1,1,5,Rural,1,1,1,1,0,1,0,0,0,1,0,0,6,454,Christians,97.5,97.5,3522962.704,1646238.49,1396237.918,0,0,0,190.4545185,33.375,-9.875,0,0,0,MWI,Africa,Eastern Africa
1.01012E+11,26,-9.92,33.42,0.150000006,58.38000107,1,1,1,0,1,1,0,1,1,0,7,Rural,1,1,1,1,1,0,0,1,1,1,1,1,10,454,Christians,97.5,97.5,3522962.704,1646238.49,1396237.918,0,0,0,190.4545185,33.375,-9.875,0,0,0,MWI,Africa,Eastern Africa
1.01012E+11,27,-9.92,33.42,0.07,58.31999969,1,1,0,0,1,0,1,0,1,0,5,Rural,1,1,1,1,1,0,0,1,0,1,0,1,8,454,Christians,97.5,97.5,3522962.704,1646238.49,1396237.918,0,0,0,190.4545185,33.375,-9.875,0,0,0,MWI,Africa,Eastern Africa
1.01012E+11,28,-9.92,33.42,0.159999996,58.59999847,1,1,0,0,0,0,0,0,1,0,3,Rural,1,0,1,1,0,0,0,0,1,1,0,0,5,454,Christians,97.5,97.5,3522962.704,1646238.49,1396237.918,0,0,0,190.4545185,33.375,-9.875,0,0,0,MWI,Africa,Eastern Africa
1.01012E+11,29,-9.92,33.42,0.270000011,57.79999924,1,1,1,0,1,1,1,0,1,1,8,Rural,1,1,1,1,1,1,0,1,1,1,1,1,11,454,Christians,97.5,97.5,3522962.704,1646238.49,1396237.918,0,0,0,190.4545185,33.375,-9.875,0,0,0,MWI,Africa,Eastern Africa
1.01012E+11,30,-9.92,33.42,0.360000014,57.72000122,1,1,0,0,1,0,0,0,1,0,4,Rural,1,1,1,1,0,0,0,1,1,1,0,1,8,454,Christians,97.5,97.5,3522962.704,1646238.49,1396237.918,0,0,0,190.4545185,33.375,-9.875,0,0,0,MWI,Africa,Eastern Africa
1.01012E+11,31,-9.92,33.42,0.850000024,58.04000092,1,1,1,0,1,0,0,0,1,0,5,Rural,1,1,1,1,0,0,0,1,1,1,0,1,8,454,Christians,97.5,97.5,3522962.704,1646238.49,1396237.918,0,0,0,190.4545185,33.375,-9.875,0,0,0,MWI,Africa,Eastern Africa
1.01012E+11,32,-9.92,33.42,0.180000007,59.36999893,1,1,0,0,0,0,0,0,1,0,3,Rural,1,1,1,1,0,0,0,1,1,1,0,0,7,454,Christians,97.5,97.5,3522962.704,1646238.49,1396237.918,0,0,0,190.4545185,33.375,-9.875,0,0,0,MWI,Africa,Eastern Africa
1.01014E+11,33,-9.75,33.42,0.469999999,60.59000015,1,0,0,0,0,0,1,1,1,0,4,Rural,1,0,0,1,0,1,0,1,0,1,0,0,5,454,Christians,97.5,97.5,NA,2901596.064,2460954.781,0,3561.206903,2713.688148,167.5730844,33.375,-9.708333333,0,814.7788499,906.8672029,MWI,Africa,Eastern Africa
1.01014E+11,34,-9.75,33.42,1.49000001,60.88999939,1,0,0,0,0,0,1,1,1,0,4,Rural,1,0,0,1,0,1,0,0,1,1,0,0,5,454,Christians,97.5,97.5,NA,2901596.064,2460954.781,0,3561.206903,2713.688148,167.5730844,33.375,-9.708333333,0,814.7788499,906.8672029,MWI,Africa,Eastern Africa
1.01014E+11,35,-9.75,33.42,1.309999943,61.72000122,1,0,0,0,0,0,1,1,1,0,4,Rural,1,0,0,1,0,1,0,0,1,1,0,0,5,454,Christians,97.5,97.5,NA,2901596.064,2460954.781,0,3561.206903,2713.688148,167.5730844,33.375,-9.708333333,0,814.7788499,906.8672029,MWI,Africa,Eastern Africa
1.01014E+11,36,-9.75,33.42,1.399999976,61.47999954,1,0,0,0,0,0,1,1,0,0,3,Rural,1,0,0,1,0,1,0,0,0,1,0,0,4,454,Christians,97.5,97.5,NA,2901596.064,2460954.781,0,3561.206903,2713.688148,167.5730844,33.375,-9.708333333,0,814.7788499,906.8672029,MWI,Africa,Eastern Africa
1.01014E+11,37,-9.75,33.42,1.039999962,60.93999863,1,1,1,1,1,1,1,1,1,1,10,Rural,1,1,1,1,1,1,1,1,1,1,1,1,12,454,Christians,97.5,97.5,NA,2901596.064,2460954.781,0,3561.206903,2713.688148,167.5730844,33.375,-9.708333333,0,814.7788499,906.8672029,MWI,Africa,Eastern Africa
1.01014E+11,38,-9.75,33.42,0.310000002,61.70999908,1,1,1,1,1,1,1,1,1,0,9,Rural,1,1,1,1,0,1,1,0,0,1,1,1,9,454,Christians,97.5,97.5,NA,2901596.064,2460954.781,0,3561.206903,2713.688148,167.5730844,33.375,-9.708333333,0,814.7788499,906.8672029,MWI,Africa,Eastern Africa
1.01014E+11,39,-9.75,33.42,0.409999996,61.54000092,1,0,1,1,0,1,1,1,1,0,7,Rural,1,0,1,1,0,1,1,1,0,1,1,0,8,454,Christians,97.5,97.5,NA,2901596.064,2460954.781,0,3561.206903,2713.688148,167.5730844,33.375,-9.708333333,0,814.7788499,906.8672029,MWI,Africa,Eastern Africa
1.01014E+11,40,-9.75,33.42,0.889999986,61.86999893,1,1,0,0,1,0,1,1,1,0,6,Rural,1,1,1,1,1,1,0,0,1,1,0,0,8,454,Christians,97.5,97.5,NA,2901596.064,2460954.781,0,3561.206903,2713.688148,167.5730844,33.375,-9.708333333,0,814.7788499,906.8672029,MWI,Africa,Eastern Africa
1.01014E+11,41,-9.75,33.42,0.730000019,64.06999969,1,1,1,0,1,0,1,1,1,1,8,Rural,1,0,1,1,1,1,0,1,1,1,0,1,9,454,Christians,97.5,97.5,NA,2901596.064,2460954.781,0,3561.206903,2713.688148,167.5730844,33.375,-9.708333333,0,814.7788499,906.8672029,MWI,Africa,Eastern Africa
1.01014E+11,42,-9.75,33.42,0.589999974,64.33999634,1,1,1,0,1,0,1,1,1,0,7,Rural,1,0,1,1,1,1,0,0,0,1,0,1,7,454,Christians,97.5,97.5,NA,2901596.064,2460954.781,0,3561.206903,2713.688148,167.5730844,33.375,-9.708333333,0,814.7788499,906.8672029,MWI,Africa,Eastern Africa
1.01014E+11,43,-9.75,33.42,1.480000019,64.16999817,1,0,1,1,1,0,1,1,1,0,7,Rural,1,1,1,1,1,1,1,1,1,1,0,1,11,454,Christians,97.5,97.5,NA,2901596.064,2460954.781,0,3561.206903,2713.688148,167.5730844,33.375,-9.708333333,0,814.7788499,906.8672029,MWI,Africa,Eastern Africa
1.01014E+11,44,-9.75,33.42,1.299999952,64.05000305,1,0,0,1,1,1,1,1,1,0,7,Rural,1,1,0,1,1,1,1,1,1,1,1,1,11,454,Christians,97.5,97.5,NA,2901596.064,2460954.781,0,3561.206903,2713.688148,167.5730844,33.375,-9.708333333,0,814.7788499,906.8672029,MWI,Africa,Eastern Africa
1.01014E+11,45,-9.75,33.42,0.439999998,64.15000153,1,1,0,0,1,1,1,0,1,0,6,Rural,1,1,1,1,1,0,0,1,1,1,1,0,9,454,Christians,97.5,97.5,NA,2901596.064,2460954.781,0,3561.206903,2713.688148,167.5730844,33.375,-9.708333333,0,814.7788499,906.8672029,MWI,Africa,Eastern Africa
