,Bovine_Sheep_Pigmeat_Poultry,Cereals,Milk_Egg,Fish_x, Av 2011+2012+2013 extracted from WDI (constant 2010 US$),Country,Code,Income group_y,Region_y,Continent
0,4.819999999999999,41.39,6.34,0.02,572.8150284,Afghanistan,AFG,Low income,South Asia,Asia
1,22.2,35.48,32.910000000000004,1.5,4271.534293,Albania,ALB,Upper middle income,Europe & Central Asia,Eurpoe
2,7.180000000000001,49.25,15.87,1.23,4555.191581,Algeria,DZA,Upper middle income,Middle East & North Africa,Africa
3,11.6,19.0,1.53,4.14,3709.9695409999895,Angola,AGO,Lower middle income,Sub-Saharan Africa,Africa
4,27.84,16.6,13.520000000000001,13.11,11929.27927,Antigua and Barbuda,ATG,High income,Latin America & Caribbean,North America
5,43.03,27.19,17.95,1.95,10679.03292,Argentina,ARG,High income,Latin America & Caribbean,South America
6,15.620000000000001,31.93,22.48,1.09,3562.9097090000005,Armenia,ARM,Upper middle income,Europe & Central Asia,Asia
7,38.75,21.77,21.36,6.2,53345.868460000005,Australia,AUS,High income,East Asia & Pacific,Australia
8,29.810000000000002,26.92,25.94,3.99,48046.30661,Austria,AUT,High income,Europe & Central Asia,Eurpoe
9,11.53,51.94,16.38,0.64,5889.790066,Azerbaijan,AZE,Upper middle income,Europe & Central Asia,Asia
10,37.36,13.89,11.01,7.47,27832.95194,Bahamas,BHS,High income,Latin America & Caribbean,North America
11,1.54,36.73,2.5599999999999996,5.43,838.8358174,Bangladesh,BGD,Lower middle income,South Asia,Asia
12,24.39,21.15,12.3,11.67,16224.95318,Barbados,BRB,High income,Latin America & Caribbean,North America
13,29.1,24.16,18.97,4.38,6625.169344,Belarus,BLR,Upper middle income,Europe & Central Asia,Eurpoe
14,19.85,26.07,27.259999999999998,6.54,44367.7856399999,Belgium,BEL,High income,Europe & Central Asia,Eurpoe
15,16.04,24.7,8.51,3.62,4333.738718,Belize,BLZ,Upper middle income,Latin America & Caribbean,North America
16,8.56,25.06,1.01,3.51,779.2424681,Benin,BEN,Low income,Sub-Saharan Africa,Africa
17,38.51,14.63,12.07,12.4,82266.93602000001,Bermuda,BMU,High income,North America,North America
18,21.259999999999998,23.68,5.58,0.65,2135.014841,Bolivia (Plurinational State of),BOL,Lower middle income,Latin America & Caribbean,South America
19,11.350000000000001,37.47,17.02,1.31,4766.1265969999895,Bosnia and Herzegovina,BIH,Upper middle income,Europe & Central Asia,Eurpoe
20,6.56,26.88,10.43,1.08,6933.048991,Botswana,BWA,Upper middle income,Sub-Saharan Africa,Africa
21,31.869999999999997,22.38,15.71,2.84,11716.53545,Brazil,BRA,Upper middle income,Latin America & Caribbean,South America
22,28.029999999999998,27.04,11.170000000000002,10.63,35536.70242,Brunei Darussalam,BRN,High income,East Asia & Pacific,Asia
23,18.189999999999998,32.9,16.83,1.91,7072.718334,Bulgaria,BGR,Upper middle income,Europe & Central Asia,Eurpoe
24,5.31,45.78,3.2699999999999996,2.2,614.034172299999,Burkina Faso,BFA,Low income,Sub-Saharan Africa,Africa
