,Bovine_Sheep_Pigmeat_Poultry,Cereals,Milk_Egg,Fish_x,stunting(percentage),overweight(percentage),Country,Code,Income group,Region,Continent,principal component 1,principal component 2,Continent_Cluster,Region_Cluster,Income group_Cluster
0,4.819999999999999,41.39,6.34,0.02,40.9,5.4,Afghanistan,AFG,Low income,South Asia,Asia,-1.6286069371877256,-1.6082628900777034,2,6,0
1,22.2,35.48,32.910000000000004,1.5,11.3,16.4,Albania,ALB,Upper middle income,Europe & Central Asia,Eurpoe,3.3627701574307998,-1.2673386811848315,5,5,1
2,7.180000000000001,49.25,15.87,1.23,11.7,12.4,Algeria,DZA,Upper middle income,Middle East & North Africa,Africa,0.9879543118128946,-2.2402728435561348,4,1,1
3,11.6,19.0,1.53,4.14,37.6,3.4,Angola,AGO,Lower middle income,Sub-Saharan Africa,Africa,-1.681935991159471,0.8798455740968932,1,0,2
5,43.03,27.19,17.95,1.95,8.2,9.9,Argentina,ARG,High income,Latin America & Caribbean,South America,3.0700262529412075,0.5578846084393272,5,5,3
6,15.620000000000001,31.93,22.48,1.09,9.4,13.7,Armenia,ARM,Upper middle income,Europe & Central Asia,Asia,2.0905241543146347,-0.8607806858744671,5,1,1
7,38.75,21.77,21.36,6.2,2.0,7.7,Australia,AUS,High income,East Asia & Pacific,Australia,3.098011362993389,1.4085822111362138,5,5,3
9,11.53,51.94,16.38,0.64,17.8,14.1,Azerbaijan,AZE,Upper middle income,Europe & Central Asia,Asia,1.1832325392782295,-2.573300512669042,4,1,1
11,1.54,36.73,2.5599999999999996,5.43,36.2,1.6,Bangladesh,BGD,Lower middle income,South Asia,Asia,-2.2409545590300173,-0.5048382070232365,2,2,0
12,24.39,21.15,12.3,11.67,7.7,12.2,Barbados,BRB,High income,Latin America & Caribbean,North America,1.7831839400474203,1.404264345831551,0,3,3
13,29.1,24.16,18.97,4.38,4.5,9.7,Belarus,BLR,Upper middle income,Europe & Central Asia,Eurpoe,2.4535958860306226,0.7104925529617082,5,5,3
15,16.04,24.7,8.51,3.62,15.0,7.3,Belize,BLZ,Upper middle income,Latin America & Caribbean,North America,0.3369386828657501,0.44581760101456813,0,3,3
16,8.56,25.06,1.01,3.51,32.2,1.9,Benin,BEN,Low income,Sub-Saharan Africa,Africa,-1.7848432283345994,0.442166648269436,1,0,2
