,location,tweets
0,"Memphis, TN","""Drink heavily with locals whenever possible."" 49 Anthony Bourdain Quotes That Will Inspire You to Travel More, Eat…"
1,,RT : SHE RATHER EAT THAT DISGUSTING FOOD THAN RANK JUSTIN’s BEST LOOK TO THE WORST. SHE TRULLY LOVES JUSTIN I LOVE HER htt…
2,.,just got served the most unseasoned disgusting food ever guess white people are back at it again
3,,"for Mexican Martinis , Rainey for weird food trucks and drinks and"
4,Atlanta area,"49 Anthony Bourdain Quotes That Will Inspire You to Travel More, Eat Better, and Enjoy Life"
5,"Christchurch City, New Zealand",So my true personality is loving everyone I meet and I enjoy truly disgusting food. I reckon alcohol jus…
6,Birmingham,Feeding People MORE WEIRD FOOD!? | Toca Kitchen -
7,Somewhere tropical,RT : What is your favourite ‘weird’ food combination?? *answers may be used in a science blog* #scicomm
8,,RT : What is your favourite ‘weird’ food combination?? *answers may be used in a science blog* #scicomm
9,"London, England",Have you been on a Yoga retreat? Here's how to get the most out of it. #yoga #yogaretreat
10,,"I feel like the first three things people associate me with are Star Wars prequels, Super Mario Bros (1993), and we…"
11,"iPhone: 38.976696,-94.828575","You are welcome. 49 Anthony Bourdain Quotes That Will Inspire You to Travel More, Eat Better, and Enjoy Life"
12,Florida /\ Los Angeles,"49 Anthony Bourdain Quotes That Will Inspire You to Travel More, Eat Better, and Enjoy Life"
13,"Madrid, Comunidad de Madrid",Como hacer keyword research #Wordpress #selfie #friends #nature #style #smile #travel…
14,,If you think liking a type of disgusting food is growing up then grow up
15,South Africa,Have you ever eaten frog legs or some other strange food? video with you. Find in google: sirayakatyalil — No
16,,RT : SHE RATHER EAT THAT DISGUSTING FOOD THAN RANK JUSTIN’s BEST LOOK TO THE WORST. SHE TRULLY LOVES JUSTIN I LOVE HER htt…
17,"Toronto, Canada",RT : SHE RATHER EAT THAT DISGUSTING FOOD THAN RANK JUSTIN’s BEST LOOK TO THE WORST. SHE TRULLY LOVES JUSTIN I LOVE HER htt…
18,Out of this Atlas,"RT : Thread: Sooo I launched my travel, food and lifestyle blog a couple of weeks ago , feel free to check it out ?:"
19,drinking bizzle's cum,RT : SHE RATHER EAT THAT DISGUSTING FOOD THAN RANK JUSTIN’s BEST LOOK TO THE WORST. SHE TRULLY LOVES JUSTIN I LOVE HER htt…
20,"Paris, France",RT : JOIN #community love travel food adventure wine boomers lovetravel #travelfoodiesTV
21,SocialMedia RedCarpet #Influencer,JOIN #community love travel food adventure wine boomers lovetravel #travelfoodiesTV
22,"Denver, CO",RT : SHE RATHER EAT THAT DISGUSTING FOOD THAN RANK JUSTIN’s BEST LOOK TO THE WORST. SHE TRULLY LOVES JUSTIN I LOVE HER htt…
23,,Mediterranean style tuna fusilli with La Fourmi – Travel &amp; Food
